06-12-2026 19:06:12 RAM 1459/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [72%@1651,66%@1651,66%@1651,100%@1651,18%@1651,18%@1651] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51C soc2@49.187C soc0@49.781C gpu@51.25C tj@51.25C soc1@50.5C VDD_IN 6278mW/6278mW VDD_CPU_GPU_CV 2010mW/2010mW VDD_SOC 1500mW/1500mW
06-12-2026 19:06:12 RAM 1501/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [10%@1574,18%@1574,18%@1574,100%@1574,27%@1574,0%@1574] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.062C soc2@49.187C soc0@49.75C gpu@51.062C tj@51.062C soc1@50.406C VDD_IN 6249mW/6264mW VDD_CPU_GPU_CV 1971mW/1991mW VDD_SOC 1579mW/1540mW
06-12-2026 19:06:12 RAM 1573/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [20%@1574,18%@1574,20%@1574,100%@1574,36%@1574,11%@1574] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.062C soc2@49.187C soc0@49.875C gpu@51.156C tj@51.156C soc1@50.281C VDD_IN 6002mW/6176mW VDD_CPU_GPU_CV 1616mW/1866mW VDD_SOC 1500mW/1526mW
06-12-2026 19:06:12 RAM 1720/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [30%@1574,46%@1574,41%@1574,100%@1574,27%@1574,25%@1574] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.687C soc2@49.156C soc0@49.718C gpu@51.218C tj@51.656C soc1@50.5C VDD_IN 8712mW/6810mW VDD_CPU_GPU_CV 4047mW/2411mW VDD_SOC 1734mW/1578mW
06-12-2026 19:06:13 RAM 1720/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,27%@1574,33%@1574] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.625C soc2@49.437C soc0@49.843C gpu@51.468C tj@52.625C soc1@50.375C VDD_IN 8687mW/7186mW VDD_CPU_GPU_CV 3851mW/2699mW VDD_SOC 1695mW/1602mW
06-12-2026 19:06:13 RAM 1721/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,37%@1574,36%@1574] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.468C soc2@49.5C soc0@49.781C gpu@51.218C tj@52.468C soc1@50.218C VDD_IN 9367mW/7549mW VDD_CPU_GPU_CV 4197mW/2949mW VDD_SOC 1810mW/1636mW
06-12-2026 19:06:13 RAM 1721/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,27%@1574,30%@1574] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.5C soc2@49.656C soc0@49.718C gpu@51.281C tj@52.5C soc1@50.343C VDD_IN 8949mW/7749mW VDD_CPU_GPU_CV 4119mW/3116mW VDD_SOC 1734mW/1650mW
06-12-2026 19:06:13 RAM 1721/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,100%@1344,27%@1344,30%@1344] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.406C soc2@49.562C soc0@49.937C gpu@51.531C tj@52.406C soc1@50.281C VDD_IN 7976mW/7778mW VDD_CPU_GPU_CV 3227mW/3130mW VDD_SOC 1695mW/1656mW
06-12-2026 19:06:13 RAM 1721/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,33%@1574,30%@1574] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.625C soc2@49.593C soc0@49.781C gpu@51.437C tj@52.625C soc1@50.562C VDD_IN 8594mW/7868mW VDD_CPU_GPU_CV 3890mW/3214mW VDD_SOC 1695mW/1660mW
06-12-2026 19:06:13 RAM 1721/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,33%@1574,46%@1574] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53C soc2@49.656C soc0@49.812C gpu@51.593C tj@53C soc1@50.468C VDD_IN 9525mW/8034mW VDD_CPU_GPU_CV 4393mW/3332mW VDD_SOC 1771mW/1671mW
06-12-2026 19:06:13 RAM 1720/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,36%@1574,41%@1574] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.687C soc2@49.656C soc0@49.906C gpu@51.25C tj@52.687C soc1@50.406C VDD_IN 8845mW/8108mW VDD_CPU_GPU_CV 3929mW/3386mW VDD_SOC 1692mW/1673mW
06-12-2026 19:06:13 RAM 1720/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,20%@1574,33%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.843C soc2@49.781C soc0@49.812C gpu@51.343C tj@52.843C soc1@50.531C VDD_IN 9146mW/8194mW VDD_CPU_GPU_CV 4283mW/3461mW VDD_SOC 1734mW/1678mW
06-12-2026 19:06:13 RAM 1720/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@729,100%@729,100%@729,100%@729,45%@729,54%@729] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.156C soc2@49.718C soc0@49.843C gpu@51.406C tj@52.156C soc1@50.562C VDD_IN 6515mW/8065mW VDD_CPU_GPU_CV 1971mW/3346mW VDD_SOC 1658mW/1677mW
06-12-2026 19:06:14 RAM 1722/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,36%@1574,40%@1574] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@49.718C soc0@50C gpu@51.812C tj@52.906C soc1@50.5C VDD_IN 8752mW/8114mW VDD_CPU_GPU_CV 3890mW/3385mW VDD_SOC 1695mW/1678mW
06-12-2026 19:06:14 RAM 1722/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@729,100%@729,100%@729,100%@729,40%@729,36%@729] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.281C soc2@49.906C soc0@49.906C gpu@51.437C tj@52.281C soc1@50.5C VDD_IN 6357mW/7997mW VDD_CPU_GPU_CV 1892mW/3286mW VDD_SOC 1579mW/1671mW
06-12-2026 19:06:14 RAM 1722/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@729,100%@729,100%@729,100%@729,53%@729,41%@729] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52C soc2@49.843C soc0@49.937C gpu@51.781C tj@52C soc1@50.312C VDD_IN 6436mW/7899mW VDD_CPU_GPU_CV 1771mW/3191mW VDD_SOC 1579mW/1666mW
06-12-2026 19:06:14 RAM 1722/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,100%@1344,46%@1344,50%@1344] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.375C soc2@49.781C soc0@49.875C gpu@51.437C tj@52.375C soc1@50.656C VDD_IN 8213mW/7918mW VDD_CPU_GPU_CV 3070mW/3184mW VDD_SOC 1658mW/1665mW
06-12-2026 19:06:14 RAM 1723/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,100%@1344,36%@1344,33%@1344] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.625C soc2@49.781C soc0@50C gpu@51.406C tj@52.625C soc1@50.593C VDD_IN 7937mW/7919mW VDD_CPU_GPU_CV 2952mW/3171mW VDD_SOC 1658mW/1665mW
