06-12-2026 19:04:52 RAM 1467/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [63%@1728,66%@1728,100%@1728,66%@1728,18%@1190,10%@1190] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.562C soc2@49.25C soc0@49.875C gpu@51.25C tj@51.562C soc1@50.312C VDD_IN 6367mW/6367mW VDD_CPU_GPU_CV 1931mW/1931mW VDD_SOC 1500mW/1500mW
06-12-2026 19:04:52 RAM 1533/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [10%@1728,9%@1728,100%@1728,16%@1728,0%@729,16%@729] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.312C soc2@49.312C soc0@49.937C gpu@51.468C tj@51.468C soc1@50.312C VDD_IN 6160mW/6264mW VDD_CPU_GPU_CV 1774mW/1853mW VDD_SOC 1500mW/1500mW
06-12-2026 19:04:52 RAM 1647/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [0%@1728,18%@1728,100%@1728,25%@1728,36%@729,16%@729] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.437C soc2@49.312C soc0@49.812C gpu@51.187C tj@51.437C soc1@50.406C VDD_IN 7344mW/6624mW VDD_CPU_GPU_CV 2444mW/2050mW VDD_SOC 1697mW/1566mW
06-12-2026 19:04:52 RAM 1726/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [75%@1728,75%@1728,100%@1728,72%@1728,33%@729,50%@729] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.718C soc2@49.468C soc0@49.937C gpu@51.25C tj@52.718C soc1@50.406C VDD_IN 9264mW/7284mW VDD_CPU_GPU_CV 4361mW/2628mW VDD_SOC 1695mW/1598mW
06-12-2026 19:04:52 RAM 1726/7607MB (lfb 69x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@960,46%@960] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.75C soc2@49.656C soc0@49.875C gpu@51.281C tj@52.75C soc1@50.312C VDD_IN 9343mW/7696mW VDD_CPU_GPU_CV 4315mW/2965mW VDD_SOC 1695mW/1617mW
06-12-2026 19:04:53 RAM 1727/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@1190,33%@1267] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.593C soc2@49.781C soc0@49.937C gpu@51.312C tj@52.593C soc1@50.406C VDD_IN 9422mW/7983mW VDD_CPU_GPU_CV 4393mW/3203mW VDD_SOC 1771mW/1643mW
06-12-2026 19:04:53 RAM 1728/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1497,54%@1497] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.906C soc2@49.781C soc0@49.906C gpu@51.531C tj@52.906C soc1@50.437C VDD_IN 9603mW/8215mW VDD_CPU_GPU_CV 4825mW/3435mW VDD_SOC 1731mW/1656mW
06-12-2026 19:04:53 RAM 1729/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,46%@729,41%@729] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.031C soc2@49.937C soc0@49.843C gpu@51.5C tj@53.031C soc1@50.5C VDD_IN 10115mW/8452mW VDD_CPU_GPU_CV 5052mW/3637mW VDD_SOC 1771mW/1670mW
06-12-2026 19:04:53 RAM 1729/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@1190,41%@1190] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.375C soc2@49.937C soc0@49.906C gpu@51.687C tj@53.375C soc1@50.468C VDD_IN 9446mW/8563mW VDD_CPU_GPU_CV 4511mW/3734mW VDD_SOC 1692mW/1672mW
06-12-2026 19:04:53 RAM 1729/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,54%@1113,45%@1113] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.25C soc2@50C soc0@49.937C gpu@51.687C tj@53.25C soc1@50.406C VDD_IN 9619mW/8668mW VDD_CPU_GPU_CV 4747mW/3835mW VDD_SOC 1731mW/1678mW
06-12-2026 19:04:53 RAM 1729/7607MB (lfb 68x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,41%@1344,36%@1344] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.218C soc2@50.031C soc0@49.968C gpu@51.843C tj@53.093C soc1@50.593C VDD_IN 9525mW/8746mW VDD_CPU_GPU_CV 4629mW/3907mW VDD_SOC 1692mW/1680mW
