06-12-2026 19:39:44 RAM 1487/7607MB (lfb 74x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,63%@1728,66%@1728,66%@1728,23%@1728,18%@1728] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.25C soc2@48.437C soc0@48.75C gpu@50.437C tj@50.437C soc1@49.218C VDD_IN 6041mW/6041mW VDD_CPU_GPU_CV 1774mW/1774mW VDD_SOC 1500mW/1500mW
06-12-2026 19:39:44 RAM 1550/7607MB (lfb 74x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,10%@1728,9%@1728,0%@1728,0%@1728,9%@1728] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.093C soc2@48.312C soc0@48.781C gpu@50.25C tj@50.25C soc1@49.281C VDD_IN 6002mW/6022mW VDD_CPU_GPU_CV 1695mW/1735mW VDD_SOC 1500mW/1500mW
06-12-2026 19:39:44 RAM 1650/7607MB (lfb 65x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,9%@1728,10%@1728,18%@1728,0%@1728,0%@1728] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.218C soc2@48.468C soc0@48.875C gpu@50.25C tj@50.25C soc1@49.218C VDD_IN 6526mW/6190mW VDD_CPU_GPU_CV 1813mW/1761mW VDD_SOC 1579mW/1526mW
06-12-2026 19:39:44 RAM 1746/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,66%@1728,63%@1728,66%@1728,0%@1728,9%@1728] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.531C soc2@48.406C soc0@48.812C gpu@50.375C tj@51.531C soc1@49.406C VDD_IN 9658mW/7057mW VDD_CPU_GPU_CV 4668mW/2488mW VDD_SOC 1695mW/1569mW
06-12-2026 19:39:45 RAM 1747/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,25%@1728,18%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.687C soc2@48.562C soc0@48.875C gpu@50.25C tj@51.687C soc1@49.312C VDD_IN 9895mW/7624mW VDD_CPU_GPU_CV 5021mW/2994mW VDD_SOC 1731mW/1601mW
06-12-2026 19:39:45 RAM 1747/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,18%@1728,10%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.843C soc2@48.687C soc0@48.875C gpu@50.312C tj@51.937C soc1@49.218C VDD_IN 9619mW/7957mW VDD_CPU_GPU_CV 4668mW/3273mW VDD_SOC 1692mW/1616mW
06-12-2026 19:39:45 RAM 1746/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,20%@1728,27%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.031C soc2@48.75C soc0@48.906C gpu@50.562C tj@51.937C soc1@49.375C VDD_IN 9856mW/8228mW VDD_CPU_GPU_CV 4786mW/3489mW VDD_SOC 1692mW/1627mW
06-12-2026 19:39:45 RAM 1747/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,10%@1728,16%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.218C soc2@48.843C soc0@48.906C gpu@50.718C tj@52.218C soc1@49.375C VDD_IN 9997mW/8449mW VDD_CPU_GPU_CV 5100mW/3691mW VDD_SOC 1731mW/1640mW
06-12-2026 19:39:45 RAM 1748/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,30%@1728,0%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.031C soc2@48.906C soc0@48.843C gpu@50.5C tj@52.031C soc1@49.531C VDD_IN 9619mW/8579mW VDD_CPU_GPU_CV 4629mW/3795mW VDD_SOC 1731mW/1650mW
06-12-2026 19:39:45 RAM 1748/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,18%@1728,25%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.406C soc2@48.906C soc0@49.031C gpu@50.625C tj@52.406C soc1@49.468C VDD_IN 9407mW/8662mW VDD_CPU_GPU_CV 4629mW/3878mW VDD_SOC 1692mW/1654mW
06-12-2026 19:39:45 RAM 1748/7607MB (lfb 57x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,33%@1728,20%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.187C soc2@48.968C soc0@49C gpu@50.718C tj@52.187C soc1@49.343C VDD_IN 9485mW/8737mW VDD_CPU_GPU_CV 4558mW/3940mW VDD_SOC 1692mW/1658mW
