06-12-2026 19:44:23 RAM 1477/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [60%@1728,70%@1728,100%@1728,80%@1728,33%@960,30%@960] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.937C soc2@49.687C soc0@50.343C gpu@51.75C tj@51.937C soc1@51.062C VDD_IN 6555mW/6555mW VDD_CPU_GPU_CV 2089mW/2089mW VDD_SOC 1500mW/1500mW
06-12-2026 19:44:23 RAM 1538/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [27%@1728,38%@1728,100%@1728,10%@1728,9%@729,25%@729] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.281C soc2@49.718C soc0@50.281C gpu@51.968C tj@52.281C soc1@50.906C VDD_IN 6397mW/6476mW VDD_CPU_GPU_CV 1892mW/1991mW VDD_SOC 1500mW/1500mW
06-12-2026 19:44:23 RAM 1639/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [38%@1728,25%@1728,100%@1728,27%@1728,9%@883,0%@883] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.156C soc2@49.906C soc0@50.437C gpu@51.937C tj@52.156C soc1@50.906C VDD_IN 6565mW/6506mW VDD_CPU_GPU_CV 1892mW/1958mW VDD_SOC 1619mW/1540mW
06-12-2026 19:44:23 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [70%@1728,72%@1728,100%@1728,69%@1728,36%@729,20%@729] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53C soc2@49.968C soc0@50.343C gpu@52.093C tj@53C soc1@51.093C VDD_IN 9879mW/7349mW VDD_CPU_GPU_CV 5052mW/2731mW VDD_SOC 1731mW/1588mW
06-12-2026 19:44:24 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,53%@960,54%@960] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.406C soc2@50.093C soc0@50.312C gpu@51.718C tj@53.312C soc1@50.968C VDD_IN 9800mW/7839mW VDD_CPU_GPU_CV 4982mW/3181mW VDD_SOC 1771mW/1624mW
06-12-2026 19:44:24 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@729,50%@729] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.593C soc2@50.187C soc0@50.468C gpu@51.781C tj@53.593C soc1@50.968C VDD_IN 9879mW/8179mW VDD_CPU_GPU_CV 4896mW/3467mW VDD_SOC 1731mW/1642mW
06-12-2026 19:44:24 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1728,45%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.562C soc2@50.312C soc0@50.343C gpu@51.843C tj@53.562C soc1@51.156C VDD_IN 9382mW/8351mW VDD_CPU_GPU_CV 4590mW/3628mW VDD_SOC 1731mW/1655mW
06-12-2026 19:44:24 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@1728,54%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.875C soc2@50.312C soc0@50.312C gpu@51.875C tj@53.875C soc1@51.125C VDD_IN 9461mW/8490mW VDD_CPU_GPU_CV 4472mW/3733mW VDD_SOC 1692mW/1659mW
06-12-2026 19:44:24 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@1651,45%@1651] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.781C soc2@50.343C soc0@50.406C gpu@52.031C tj@53.781C soc1@51.093C VDD_IN 9643mW/8618mW VDD_CPU_GPU_CV 4433mW/3811mW VDD_SOC 1653mW/1659mW
06-12-2026 19:44:24 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1036,54%@1036] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.656C soc2@50.437C soc0@50.468C gpu@52.125C tj@53.75C soc1@50.968C VDD_IN 9106mW/8667mW VDD_CPU_GPU_CV 4315mW/3861mW VDD_SOC 1655mW/1658mW
06-12-2026 19:44:24 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@1190,53%@1190] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.781C soc2@50.468C soc0@50.406C gpu@52.125C tj@53.781C soc1@51.187C VDD_IN 9761mW/8766mW VDD_CPU_GPU_CV 4747mW/3942mW VDD_SOC 1731mW/1665mW
06-12-2026 19:44:24 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,53%@1036,44%@1036] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.062C soc2@50.5C soc0@50.562C gpu@52.187C tj@54.062C soc1@51.187C VDD_IN 9840mW/8856mW VDD_CPU_GPU_CV 4943mW/4025mW VDD_SOC 1731mW/1670mW
06-12-2026 19:44:25 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,60%@1344,41%@1344] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.968C soc2@50.593C soc0@50.531C gpu@52.218C tj@54.187C soc1@51.156C VDD_IN 9918mW/8937mW VDD_CPU_GPU_CV 5060mW/4105mW VDD_SOC 1771mW/1678mW
06-12-2026 19:44:25 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1420,50%@1420] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.031C soc2@50.656C soc0@50.468C gpu@52.187C tj@54.031C soc1@51.125C VDD_IN 9958mW/9010mW VDD_CPU_GPU_CV 4935mW/4164mW VDD_SOC 1731mW/1682mW
06-12-2026 19:44:25 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,50%@883,50%@883] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.093C soc2@50.656C soc0@50.468C gpu@52.187C tj@54.093C soc1@51.218C VDD_IN 9997mW/9076mW VDD_CPU_GPU_CV 5091mW/4226mW VDD_SOC 1731mW/1685mW
06-12-2026 19:44:25 RAM 1738/7607MB (lfb 59x4MB) SWAP 0/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1651,45%@1651] EMC_FREQ 7%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.125C soc2@50.593C soc0@50.531C gpu@52.281C tj@54.125C soc1@51.187C VDD_IN 9721mW/9116mW VDD_CPU_GPU_CV 4629mW/4251mW VDD_SOC 1731mW/1688mW
