/usr/lib/python3/dist-packages/scipy/__init__.py:146: UserWarning: A NumPy version >=1.17.3 and <1.25.0 is required for this version of SciPy (detected version 1.26.4
  warnings.warn(f"A NumPy version >={np_minversion} and <{np_maxversion}"
device: cuda
loading data...
  train=753,437  val=154,630  test=160,172

── float32 training ──
epoch  train_loss    val_loss   val_acc   val_top2
    1      0.2195      0.1101    0.9504     0.9902
    2      0.0978      0.0755    0.9655     0.9936
    3      0.0783      0.0677    0.9694     0.9938
    4      0.0682      0.0646    0.9705     0.9955
    5      0.0620      0.0575    0.9745     0.9964
    6      0.0586      0.0569    0.9732     0.9960
    7      0.0544      0.0516    0.9755     0.9962
    8      0.0511      0.0500    0.9760     0.9968
    9      0.0497      0.0501    0.9769     0.9967
   10      0.0477      0.0536    0.9788     0.9964
   11      0.0457      0.0515    0.9776     0.9971
