06-12-2026 22:01:33 RAM 1550/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [72%@1651,70%@1651,100%@1651,72%@1651,33%@1651,18%@1651] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.75C soc2@49.375C soc0@50.093C gpu@51.5C tj@51.75C soc1@50.531C VDD_IN 6397mW/6397mW VDD_CPU_GPU_CV 2128mW/2128mW VDD_SOC 1502mW/1502mW
06-12-2026 22:01:33 RAM 1599/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [20%@1574,33%@1574,100%@1574,27%@1574,8%@1574,0%@1574] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.437C soc2@49.468C soc0@50.031C gpu@51.25C tj@51.437C soc1@50.468C VDD_IN 6515mW/6456mW VDD_CPU_GPU_CV 1616mW/1872mW VDD_SOC 1500mW/1501mW
06-12-2026 22:01:33 RAM 1661/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [10%@1574,33%@1574,100%@1574,25%@1574,0%@1574,16%@1574] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.437C soc2@49.375C soc0@50C gpu@51.343C tj@51.437C soc1@50.687C VDD_IN 5844mW/6252mW VDD_CPU_GPU_CV 1774mW/1839mW VDD_SOC 1540mW/1514mW
06-12-2026 22:01:33 RAM 1812/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [53%@1574,46%@1574,100%@1574,36%@1574,23%@1574,9%@1574] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.781C soc2@49.406C soc0@50C gpu@51.406C tj@51.718C soc1@50.531C VDD_IN 8633mW/6847mW VDD_CPU_GPU_CV 3621mW/2285mW VDD_SOC 1616mW/1540mW
06-12-2026 22:01:33 RAM 1813/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,45%@1574,30%@1574] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.375C soc2@49.625C soc0@49.968C gpu@51.406C tj@52.375C soc1@50.593C VDD_IN 8529mW/7184mW VDD_CPU_GPU_CV 3424mW/2513mW VDD_SOC 1619mW/1555mW
06-12-2026 22:01:34 RAM 1813/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,33%@1574,42%@1574] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.781C soc2@49.75C soc0@50.062C gpu@51.593C tj@52.781C soc1@50.625C VDD_IN 9564mW/7580mW VDD_CPU_GPU_CV 4440mW/2834mW VDD_SOC 1655mW/1572mW
06-12-2026 22:01:34 RAM 1813/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,100%@1344,33%@1344,45%@1344] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.437C soc2@49.843C soc0@50.093C gpu@51.437C tj@52.437C soc1@50.593C VDD_IN 7700mW/7597mW VDD_CPU_GPU_CV 3109mW/2873mW VDD_SOC 1658mW/1584mW
06-12-2026 22:01:34 RAM 1813/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,41%@1574,41%@1574] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.718C soc2@49.968C soc0@50C gpu@51.5C tj@52.718C soc1@50.75C VDD_IN 8515mW/7712mW VDD_CPU_GPU_CV 4047mW/3020mW VDD_SOC 1695mW/1598mW
06-12-2026 22:01:34 RAM 1813/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1574,100%@1574,100%@1574,100%@1574,40%@1574,30%@1574] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.625C soc2@49.781C soc0@50C gpu@51.812C tj@52.625C soc1@50.718C VDD_IN 9382mW/7898mW VDD_CPU_GPU_CV 3581mW/3082mW VDD_SOC 1616mW/1600mW
06-12-2026 22:01:34 RAM 1813/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@729,100%@729,100%@729,100%@729,41%@729,45%@729] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.937C soc2@49.75C soc0@50.093C gpu@51.531C tj@51.937C soc1@50.75C VDD_IN 6712mW/7779mW VDD_CPU_GPU_CV 2010mW/2975mW VDD_SOC 1579mW/1598mW
06-12-2026 22:01:34 RAM 1812/7607MB (lfb 5x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1344,100%@1344,100%@1344,100%@1344,40%@1344,41%@1344] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.375C soc2@49.781C soc0@50.031C gpu@51.593C tj@52.375C soc1@50.656C VDD_IN 7884mW/7789mW VDD_CPU_GPU_CV 3458mW/3019mW VDD_SOC 1658mW/1603mW
