06-12-2026 21:57:38 RAM 1533/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [70%@1728,63%@1728,72%@1728,100%@1728,27%@1728,27%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.062C soc2@49.937C soc0@50.375C gpu@51.812C tj@52.062C soc1@51.125C VDD_IN 6870mW/6870mW VDD_CPU_GPU_CV 1774mW/1774mW VDD_SOC 1500mW/1500mW
06-12-2026 21:57:39 RAM 1593/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [25%@1728,27%@1728,18%@1728,100%@1728,16%@1728,16%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.968C soc2@49.875C soc0@50.468C gpu@51.812C tj@51.968C soc1@51.062C VDD_IN 6199mW/6535mW VDD_CPU_GPU_CV 1734mW/1754mW VDD_SOC 1500mW/1500mW
06-12-2026 21:57:39 RAM 1679/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [11%@1728,30%@1728,18%@1728,100%@1728,18%@1728,0%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.906C soc2@49.781C soc0@50.468C gpu@52.031C tj@52.031C soc1@51.187C VDD_IN 5923mW/6331mW VDD_CPU_GPU_CV 1498mW/1669mW VDD_SOC 1579mW/1526mW
06-12-2026 21:57:39 RAM 1792/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [66%@1728,60%@1728,60%@1728,100%@1728,20%@1728,25%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.093C soc2@49.937C soc0@50.343C gpu@51.75C tj@53.093C soc1@51.062C VDD_IN 9225mW/7054mW VDD_CPU_GPU_CV 4825mW/2458mW VDD_SOC 1653mW/1558mW
06-12-2026 21:57:39 RAM 1792/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@1728,30%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.406C soc2@50.281C soc0@50.468C gpu@51.875C tj@53.406C soc1@51.031C VDD_IN 10666mW/7777mW VDD_CPU_GPU_CV 5335mW/3033mW VDD_SOC 1689mW/1584mW
06-12-2026 21:57:39 RAM 1793/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,41%@1728,36%@1728] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.468C soc2@50.343C soc0@50.437C gpu@52C tj@53.562C soc1@51.25C VDD_IN 9382mW/8044mW VDD_CPU_GPU_CV 4440mW/3268mW VDD_SOC 1653mW/1596mW
06-12-2026 21:57:39 RAM 1792/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,41%@1728,30%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.437C soc2@50.406C soc0@50.375C gpu@52C tj@53.437C soc1@51.156C VDD_IN 10509mW/8396mW VDD_CPU_GPU_CV 4629mW/3462mW VDD_SOC 1689mW/1609mW
06-12-2026 21:57:39 RAM 1792/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,30%@1728,36%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.875C soc2@50.468C soc0@50.468C gpu@52.218C tj@53.875C soc1@51.093C VDD_IN 9422mW/8525mW VDD_CPU_GPU_CV 4433mW/3584mW VDD_SOC 1692mW/1619mW
06-12-2026 21:57:39 RAM 1793/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,30%@1728,41%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.812C soc2@50.562C soc0@50.343C gpu@52.375C tj@53.812C soc1@51.187C VDD_IN 10076mW/8697mW VDD_CPU_GPU_CV 5209mW/3764mW VDD_SOC 1731mW/1632mW
06-12-2026 21:57:39 RAM 1793/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,41%@1728,36%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.031C soc2@50.5C soc0@50.406C gpu@52.281C tj@54.031C soc1@51.125C VDD_IN 9918mW/8819mW VDD_CPU_GPU_CV 5248mW/3913mW VDD_SOC 1731mW/1642mW
06-12-2026 21:57:40 RAM 1793/7607MB (lfb 7x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@1728,33%@1728] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.937C soc2@50.562C soc0@50.531C gpu@52.156C tj@53.937C soc1@51.187C VDD_IN 9328mW/8865mW VDD_CPU_GPU_CV 4739mW/3988mW VDD_SOC 1731mW/1650mW
