06-12-2026 22:00:13 RAM 1536/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,72%@1728,70%@1728,70%@1728,20%@729,30%@729] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.062C soc2@50.031C soc0@50.468C gpu@52.031C tj@52.062C soc1@51.25C VDD_IN 6712mW/6712mW VDD_CPU_GPU_CV 2365mW/2365mW VDD_SOC 1540mW/1540mW
06-12-2026 22:00:14 RAM 1593/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,18%@1728,35%@1728,25%@1728,9%@729,0%@729] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[306] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.156C soc2@50.062C soc0@50.593C gpu@51.812C tj@52.156C soc1@51.125C VDD_IN 6011mW/6362mW VDD_CPU_GPU_CV 1695mW/2030mW VDD_SOC 1500mW/1520mW
06-12-2026 22:00:14 RAM 1670/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,25%@1728,20%@1728,27%@1728,0%@729,0%@729] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.093C soc2@50.156C soc0@50.656C gpu@52.187C tj@52.187C soc1@51.125C VDD_IN 6209mW/6311mW VDD_CPU_GPU_CV 2326mW/2129mW VDD_SOC 1500mW/1513mW
06-12-2026 22:00:14 RAM 1798/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,63%@1728,50%@1728,58%@1728,42%@1267,18%@1267] EMC_FREQ 4%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@52.937C soc2@50.187C soc0@50.625C gpu@52.093C tj@52.937C soc1@51.218C VDD_IN 9840mW/7193mW VDD_CPU_GPU_CV 4825mW/2803mW VDD_SOC 1731mW/1568mW
06-12-2026 22:00:14 RAM 1799/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@1190,33%@1267] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.468C soc2@50.343C soc0@50.656C gpu@52.312C tj@53.468C soc1@51.187C VDD_IN 9461mW/7647mW VDD_CPU_GPU_CV 4465mW/3135mW VDD_SOC 1731mW/1600mW
06-12-2026 22:00:14 RAM 1799/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,41%@1267,40%@1267] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.75C soc2@50.468C soc0@50.562C gpu@52C tj@53.75C soc1@51.281C VDD_IN 9958mW/8032mW VDD_CPU_GPU_CV 4629mW/3384mW VDD_SOC 1695mW/1616mW
06-12-2026 22:00:14 RAM 1798/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,40%@1267,46%@1267] EMC_FREQ 5%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.656C soc2@50.468C soc0@50.562C gpu@52.062C tj@53.656C soc1@51.375C VDD_IN 9343mW/8219mW VDD_CPU_GPU_CV 4472mW/3540mW VDD_SOC 1692mW/1627mW
06-12-2026 22:00:14 RAM 1799/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,53%@806,44%@806] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.093C soc2@50.562C soc0@50.5C gpu@52.156C tj@54.093C soc1@51.281C VDD_IN 9603mW/8392mW VDD_CPU_GPU_CV 4629mW/3676mW VDD_SOC 1731mW/1640mW
06-12-2026 22:00:14 RAM 1799/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,45%@960,50%@960] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.906C soc2@50.562C soc0@50.687C gpu@52.281C tj@53.906C soc1@51.25C VDD_IN 10154mW/8588mW VDD_CPU_GPU_CV 5131mW/3837mW VDD_SOC 1692mW/1646mW
06-12-2026 22:00:14 RAM 1798/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,36%@1497,50%@1497] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.906C soc2@50.687C soc0@50.656C gpu@52.25C tj@54.031C soc1@51.156C VDD_IN 9485mW/8678mW VDD_CPU_GPU_CV 4472mW/3901mW VDD_SOC 1692mW/1650mW
06-12-2026 22:00:15 RAM 1799/7607MB (lfb 4x4MB) SWAP 1/3804MB (cached 0MB) CPU [100%@1728,100%@1728,100%@1728,100%@1728,53%@1190,33%@1190] EMC_FREQ 6%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@53.875C soc2@50.75C soc0@50.437C gpu@52.343C tj@53.875C soc1@51.406C VDD_IN 9548mW/8757mW VDD_CPU_GPU_CV 5178mW/4017mW VDD_SOC 1692mW/1654mW
